ID,LABEL,1984 Taylor Phillips 
255,2014 Parks Faller,
256,2014 Prevedelli Cacciapuoti Rosi Sorrentino Tino,
257,2014 Quinn Don't Stop,
258,2014 Quinn Erratum ,
259,2014 Quinn Outcome,
260,2014 Quinn Speake ,
261,2014 Quinn Speake Parks Davis,
262,2014 Quinn Speake Too Hard,
263,2014 Rosi,
264,2014 Rothleitner,
265,2014 Schlamminger ,
266,2014 Schlamminger Pixley Nolting Schurr Straumann,
267,2014 Williams et al,
268,2014 Wood ,
269,2014 Xue Quan Yang et al ,
270,2015 Anderson et al,
271,2015 DeSalvo,
272,2015 Klosser,
273,2015 Rothleitner,
274,2015 Schlamminger Gundlach Newman,
275,2016 Possolo Toman,
276,2016 Schmöle Aspelmeyer et al,
278,2018 LasseNordahl1,
279,2018 LasseNordahl2,
280,2018 LasseNordahl3,
